"Date","Open","High","Low","Close","Jaw ‌Alligator‌ (y,13,21,8,13,5,8,n)","Teeth ‌Alligator‌ (y,13,21,8,13,5,8,n)","Lips ‌Alligator‌ (y,13,21,8,13,5,8,n)","MA ‌ma‌ (5,ma,0)","MA ‌ma‌ (15,ma,0)"
"Thu Dec 15 2022 14:25:00 GMT+0530 (India Standard Time)","18520.65","18521.15","18496.65","18496.90","18558.79","18532.43","18522.08","18514.14","18514.92"
"Thu Dec 15 2022 14:30:00 GMT+0530 (India Standard Time)","18496.40","18497.35","18474.45","18475.30","18556.43","18530.38","18518.77","18507.94","18511.87"
"Thu Dec 15 2022 14:35:00 GMT+0530 (India Standard Time)","18475.55","18479.55","18459.10","18468.50","18553.97","18529.09","18515.96","18497.44","18508.60"
"Thu Dec 15 2022 14:40:00 GMT+0530 (India Standard Time)","18468.60","18468.80","18431.50","18431.50","18551.26","18528.62","18514.20","18478.62","18502.96"
"Thu Dec 15 2022 14:45:00 GMT+0530 (India Standard Time)","18429.95","18448.35","18427.60","18436.95","18549.39","18527.75","18512.61","18461.83","18497.11"
"Thu Dec 15 2022 14:50:00 GMT+0530 (India Standard Time)","18437.70","18438.25","18409.65","18424.30","18548.27","18526.36","18512.31","18447.31","18490.24"
"Thu Dec 15 2022 14:55:00 GMT+0530 (India Standard Time)","18424.30","18444.65","18416.85","18435.30","18546.71","18523.75","18514.07","18439.31","18484.68"
"Thu Dec 15 2022 15:00:00 GMT+0530 (India Standard Time)","18437.65","18451.70","18433.20","18436.75","18544.78","18521.37","18515.78","18432.96","18479.60"
"Thu Dec 15 2022 15:05:00 GMT+0530 (India Standard Time)","18437.65","18443.15","18430.70","18433.00","18542.58","18519.59","18514.41","18433.26","18475.10"
"Thu Dec 15 2022 15:10:00 GMT+0530 (India Standard Time)","18433.75","18436.15","18406.60","18406.80","18540.54","18517.93","18508.71","18427.23","18468.57"
"Thu Dec 15 2022 15:15:00 GMT+0530 (India Standard Time)","18407.00","18415.65","18400.50","18413.20","18538.96","18517.07","18500.83","18425.01","18462.15"
"Thu Dec 15 2022 15:20:00 GMT+0530 (India Standard Time)","18413.40","18415.05","18388.40","18388.80","18537.91","18517.58","18490.69","18415.71","18454.32"
"Thu Dec 15 2022 15:25:00 GMT+0530 (India Standard Time)","18388.75","18399.75","18388.65","18399.75","18536.66","18518.21","18480.15","18408.31","18446.24"
"Fri Dec 16 2022 09:15:00 GMT+0530 (India Standard Time)","18319.10","18357.55","18300.25","18355.70","18535.12","18517.05","18468.91","18392.85","18434.91"
"Fri Dec 16 2022 09:20:00 GMT+0530 (India Standard Time)","18355.90","18399.25","18352.90","18397.25","18532.84","18513.15","18461.28","18390.94","18426.67"
"Fri Dec 16 2022 09:25:00 GMT+0530 (India Standard Time)","18397.70","18426.30","18394.20","18404.60","18530.68","18507.68","18457.51","18389.22","18420.51"
"Fri Dec 16 2022 09:30:00 GMT+0530 (India Standard Time)","18404.80","18438.60","18404.80","18438.00","18528.87","18500.48","18453.39","18399.06","18418.03"
"Fri Dec 16 2022 09:35:00 GMT+0530 (India Standard Time)","18438.55","18440.50","18396.85","18396.85","18527.13","18492.67","18446.99","18398.48","18413.25"
"Fri Dec 16 2022 09:40:00 GMT+0530 (India Standard Time)","18397.10","18399.95","18382.45","18382.50","18525.90","18484.08","18439.21","18403.84","18409.98"
"Fri Dec 16 2022 09:45:00 GMT+0530 (India Standard Time)","18381.85","18382.65","18356.65","18376.35","18525.53","18477.41","18431.71","18399.66","18405.94"
"Fri Dec 16 2022 09:50:00 GMT+0530 (India Standard Time)","18376.10","18383.65","18368.00","18368.40","18525.31","18473.04","18424.21","18392.42","18402.22"
"Fri Dec 16 2022 09:55:00 GMT+0530 (India Standard Time)","18368.25","18382.15","18364.45","18379.25","18524.04","18468.53","18405.15","18380.67","18398.48"
"Fri Dec 16 2022 10:00:00 GMT+0530 (India Standard Time)","18379.65","18389.55","18366.00","18366.90","18521.11","18462.63","18399.33","18374.68","18393.82"
"Fri Dec 16 2022 10:05:00 GMT+0530 (India Standard Time)","18367.20","18372.40","18345.85","18345.85","18517.13","18455.81","18401.52","18367.35","18388.01"
"Fri Dec 16 2022 10:10:00 GMT+0530 (India Standard Time)","18345.10","18346.80","18330.65","18331.50","18511.97","18449.05","18405.55","18358.38","18382.99"
"Fri Dec 16 2022 10:15:00 GMT+0530 (India Standard Time)","18331.55","18343.95","18328.35","18329.65","18506.28","18442.20","18408.18","18350.63","18377.42"
"Fri Dec 16 2022 10:20:00 GMT+0530 (India Standard Time)","18329.10","18329.10","18314.90","18321.80","18499.95","18428.03","18404.78","18339.14","18372.96"
"Fri Dec 16 2022 10:25:00 GMT+0530 (India Standard Time)","18322.45","18335.60","18319.70","18320.50","18494.63","18421.54","18397.76","18329.86","18367.67"
"Fri Dec 16 2022 10:30:00 GMT+0530 (India Standard Time)","18320.40","18336.40","18319.90","18336.40","18490.61","18420.13","18393.37","18327.97","18366.39"
"Fri Dec 16 2022 10:35:00 GMT+0530 (India Standard Time)","18336.20","18341.20","18318.20","18319.90","18486.48","18420.33","18389.36","18325.65","18361.23"
"Fri Dec 16 2022 10:40:00 GMT+0530 (India Standard Time)","18319.95","18322.75","18302.85","18303.20","18481.47","18420.12","18387.04","18320.36","18354.47"
"Fri Dec 16 2022 10:45:00 GMT+0530 (India Standard Time)","18302.30","18310.45","18281.75","18283.45","18475.83","18416.50","18381.46","18312.69","18344.17"
"Fri Dec 16 2022 10:50:00 GMT+0530 (India Standard Time)","18283.40","18290.65","18276.55","18280.60","18470.13","18410.65","18372.91","18304.71","18336.42"
"Fri Dec 16 2022 10:55:00 GMT+0530 (India Standard Time)","18279.45","18292.60","18277.95","18287.35","18464.29","18406.29","18365.56","18294.90","18330.07"
"Fri Dec 16 2022 11:00:00 GMT+0530 (India Standard Time)","18287.20","18289.95","18271.20","18279.60","18453.87","18402.17","18356.85","18286.84","18323.62"
"Fri Dec 16 2022 11:05:00 GMT+0530 (India Standard Time)","18280.10","18285.75","18275.70","18281.10","18447.89","18399.12","18351.01","18282.42","18317.80"
"Fri Dec 16 2022 11:10:00 GMT+0530 (India Standard Time)","18281.50","18318.30","18276.30","18314.55","18444.99","18394.12","18346.44","18288.64","18313.49"
"Fri Dec 16 2022 11:15:00 GMT+0530 (India Standard Time)","18314.10","18326.45","18310.85","18318.05","18443.20","18387.20","18343.09","18296.13","18310.23"
"Fri Dec 16 2022 11:20:00 GMT+0530 (India Standard Time)","18318.40","18330.60","18318.25","18324.95","18441.31","18380.82","18337.03","18303.65","18308.84"
"Fri Dec 16 2022 11:25:00 GMT+0530 (India Standard Time)","18325.05","18338.75","18324.65","18334.85","18437.46","18373.46","18328.84","18314.70","18309.06"
"Fri Dec 16 2022 11:30:00 GMT+0530 (India Standard Time)","18335.05","18343.80","18325.45","18327.20","18432.24","18367.74","18319.80","18323.92","18308.90"
"Fri Dec 16 2022 11:35:00 GMT+0530 (India Standard Time)","18327.10","18328.05","18310.50","18318.60","18427.90","18362.79","18312.89","18324.73","18308.69"
"Fri Dec 16 2022 11:40:00 GMT+0530 (India Standard Time)","18319.15","18335.45","18317.90","18330.30","18423.70","18358.65","18306.43","18327.18","18309.34"
"Fri Dec 16 2022 11:45:00 GMT+0530 (India Standard Time)","18331.35","18331.75","18320.70","18326.30","18420.17","18352.92","18301.29","18327.45","18308.67"
"Fri Dec 16 2022 11:50:00 GMT+0530 (India Standard Time)","18325.85","18327.95","18317.25","18320.85","18415.47","18345.82","18300.49","18324.65","18308.73"
"Fri Dec 16 2022 11:55:00 GMT+0530 (India Standard Time)","18320.30","18320.80","18304.80","18309.85","18409.57","18338.04","18304.12","18321.18","18309.17"
"Fri Dec 16 2022 12:00:00 GMT+0530 (India Standard Time)","18309.70","18311.40","18301.10","18309.85","18403.92","18331.45","18308.18","18319.43","18310.93"
"Fri Dec 16 2022 12:05:00 GMT+0530 (India Standard Time)","18310.30","18332.70","18310.30","18326.60","18397.62","18325.09","18312.89","18318.69","18314.00"
"Fri Dec 16 2022 12:10:00 GMT+0530 (India Standard Time)","18326.55","18329.30","18318.65","18328.50","18392.24","18319.54","18317.23","18319.13","18316.74"
"Fri Dec 16 2022 12:15:00 GMT+0530 (India Standard Time)","18328.50","18341.35","18328.40","18337.40","18387.31","18316.76","18317.64","18322.44","18320.60"
"Fri Dec 16 2022 12:20:00 GMT+0530 (India Standard Time)","18337.75","18367.40","18337.75","18365.80","18382.88","18317.00","18319.45","18333.63","18326.24"
"Fri Dec 16 2022 12:25:00 GMT+0530 (India Standard Time)","18365.90","18375.55","18357.55","18375.55","18377.49","18317.93","18320.80","18346.77","18330.31"
"Fri Dec 16 2022 12:30:00 GMT+0530 (India Standard Time)","18375.40","18384.85","18366.05","18369.90","18371.23","18319.65","18321.16","18355.43","18333.77"
"Fri Dec 16 2022 12:35:00 GMT+0530 (India Standard Time)","18369.45","18390.10","18359.25","18388.55","18364.49","18321.52","18319.49","18367.44","18338.01"
"Fri Dec 16 2022 12:40:00 GMT+0530 (India Standard Time)","18387.70","18410.80","18387.70","18401.80","18358.39","18321.24","18316.84","18380.32","18342.47"
"Fri Dec 16 2022 12:45:00 GMT+0530 (India Standard Time)","18401.70","18410.10","18393.85","18396.55","18352.41","18321.92","18317.77","18386.47","18347.09"
"Fri Dec 16 2022 12:50:00 GMT+0530 (India Standard Time)","18396.05","18399.05","18384.60","18397.35","18346.89","18322.46","18319.01","18390.83","18352.34"
"Fri Dec 16 2022 12:55:00 GMT+0530 (India Standard Time)","18396.10","18398.25","18383.60","18384.30","18343.08","18322.47","18322.19","18393.71","18355.94"
"Fri Dec 16 2022 13:00:00 GMT+0530 (India Standard Time)","18384.05","18409.30","18384.05","18390.30","18341.20","18321.27","18328.26","18394.06","18360.21"
"Fri Dec 16 2022 13:05:00 GMT+0530 (India Standard Time)","18389.75","18402.35","18378.10","18380.05","18339.91","18319.39","18335.92","18389.71","18364.16"
"Fri Dec 16 2022 13:10:00 GMT+0530 (India Standard Time)","18380.20","18389.75","18373.65","18376.45","18339.28","18319.65","18343.83","18385.69","18368.60"
"Fri Dec 16 2022 13:15:00 GMT+0530 (India Standard Time)","18375.80","18383.75","18369.15","18378.70","18338.92","18320.19","18350.00","18381.96","18373.19"
"Fri Dec 16 2022 13:20:00 GMT+0530 (India Standard Time)","18380.25","18384.00","18371.80","18375.35","18337.41","18322.03","18359.85","18380.17","18376.44"
"Fri Dec 16 2022 13:25:00 GMT+0530 (India Standard Time)","18376.15","18376.95","18361.55","18362.70","18336.58","18325.85","18368.27","18374.65","18378.72"
"Fri Dec 16 2022 13:30:00 GMT+0530 (India Standard Time)","18364.90","18384.25","18364.85","18374.60","18335.79","18330.93","18372.98","18373.56","18381.20"
"Fri Dec 16 2022 13:35:00 GMT+0530 (India Standard Time)","18375.00","18378.80","18358.15","18362.40","18334.77","18336.50","18376.57","18370.75","18380.97"
"Fri Dec 16 2022 13:40:00 GMT+0530 (India Standard Time)","18363.85","18365.90","18343.30","18343.85","18333.08","18341.27","18380.59","18363.78","18378.86"
"Fri Dec 16 2022 13:45:00 GMT+0530 (India Standard Time)","18344.20","18344.45","18334.00","18334.20","18331.02","18348.52","18382.52","18355.55","18376.48"
"Fri Dec 16 2022 13:50:00 GMT+0530 (India Standard Time)","18334.55","18341.35","18319.25","18319.25","18330.29","18355.20","18382.36","18346.86","18371.86"
"Fri Dec 16 2022 13:55:00 GMT+0530 (India Standard Time)","18319.45","18326.60","18314.75","18319.85","18329.80","18359.78","18381.17","18335.91","18366.39"
"Fri Dec 16 2022 14:00:00 GMT+0530 (India Standard Time)","18320.15","18325.05","18309.95","18310.25","18330.19","18363.67","18380.52","18325.48","18360.64"
"Fri Dec 16 2022 14:05:00 GMT+0530 (India Standard Time)","18310.65","18351.60","18309.80","18351.55","18331.91","18367.80","18378.27","18327.02","18357.59"
"Fri Dec 16 2022 14:10:00 GMT+0530 (India Standard Time)","18351.85","18356.05","18328.35","18328.35","18334.58","18370.60","18377.52","18325.85","18353.86"
"Fri Dec 16 2022 14:15:00 GMT+0530 (India Standard Time)","18328.30","18328.30","18312.60","18313.00","18337.72","18371.99","18375.71","18324.60","18348.70"
"Fri Dec 16 2022 14:20:00 GMT+0530 (India Standard Time)","18313.60","18313.75","18283.55","18283.70","18340.56","18372.55","18371.49","18317.37","18342.28"
"Fri Dec 16 2022 14:25:00 GMT+0530 (India Standard Time)","18283.85","18295.60","18283.20","18289.75","18345.08","18373.22","18365.04","18313.27","18336.50"
"Fri Dec 16 2022 14:30:00 GMT+0530 (India Standard Time)","18290.30","18301.45","18281.20","18285.80","18349.45","18372.72","18358.09","18300.12","18330.31"
"Fri Dec 16 2022 14:35:00 GMT+0530 (India Standard Time)","18286.50","18296.10","18283.80","18288.60","18352.71","18372.95","18350.61","18292.17","18324.52"
"Fri Dec 16 2022 14:40:00 GMT+0530 (India Standard Time)","18288.70","18298.10","18281.65","18296.05","18355.65","18372.39","18343.99","18288.78","18320.08"
"Fri Dec 16 2022 14:45:00 GMT+0530 (India Standard Time)","18296.70","18308.05","18286.40","18290.15","18358.81","18370.17","18341.33","18290.07","18314.45"
"Fri Dec 16 2022 14:50:00 GMT+0530 (India Standard Time)","18290.75","18290.75","18268.40","18271.70","18361.23","18366.30","18341.50","18286.46","18308.40"
"Fri Dec 16 2022 14:55:00 GMT+0530 (India Standard Time)","18272.30","18288.80","18266.95","18275.85","18362.80","18361.80","18337.29","18284.47","18303.87"
"Fri Dec 16 2022 15:00:00 GMT+0530 (India Standard Time)","18276.95","18313.90","18270.40","18272.95","18363.85","18356.66","18329.56","18281.34","18299.79"
"Fri Dec 16 2022 15:05:00 GMT+0530 (India Standard Time)","18273.20","18273.75","18257.75","18262.55","18364.93","18351.76","18321.53","18274.64","18296.01"
"Fri Dec 16 2022 15:10:00 GMT+0530 (India Standard Time)","18262.80","18268.90","18257.75","18260.35","18365.26","18349.13","18315.49","18268.68","18292.04"
"Fri Dec 16 2022 15:15:00 GMT+0530 (India Standard Time)","18261.15","18275.25","18256.10","18273.95","18365.98","18348.26","18310.38","18269.13","18289.62"
"Fri Dec 16 2022 15:20:00 GMT+0530 (India Standard Time)","18274.45","18278.30","18260.45","18261.60","18366.17","18344.79","18306.28","18266.28","18283.62"
"Fri Dec 16 2022 15:25:00 GMT+0530 (India Standard Time)","18261.45","18277.15","18255.70","18270.10","18365.28","18339.02","18304.47","18265.71","18279.74"
"Mon Dec 19 2022 09:15:00 GMT+0530 (India Standard Time)","18288.10","18306.25","18244.65","18268.30","18363.28","18332.82","18299.49","18266.86","18276.76"
"Mon Dec 19 2022 09:20:00 GMT+0530 (India Standard Time)","18270.70","18284.50","18259.30","18281.05","18360.74","18327.63","18295.17","18271.00","18276.58"
"Mon Dec 19 2022 09:25:00 GMT+0530 (India Standard Time)","18281.60","18291.80","18266.05","18280.05","18357.66","18322.92","18294.56","18272.22","18275.94"
